node_id,x,y,name
6402008176,112.8005809,-7.2835745,
6402008180,112.7936461,-7.2882369,
6402008183,112.7935222,-7.2887114,
6402008184,112.7930729,-7.2887375,
9676170362,112.794658,-7.2846563,
9676170365,112.7988081,-7.2819034,
6402008195,112.7964659,-7.2894825,
9676170373,112.7982679,-7.2818976,
6402008201,112.7960671,-7.2896928,
6402008202,112.7968907,-7.2889911,
9676170378,112.7995569,-7.2819365,
6402008204,112.7974959,-7.2879633,
6402008209,112.7920282,-7.2877951,
6402008210,112.7923041,-7.2878073,
6402008211,112.792971,-7.2879567,
1507886229,112.7977553,-7.2740296,
6402008214,112.7923699,-7.2889891,
1507886231,112.7978493,-7.2740246,
6402008235,112.7920114,-7.2884464,
6402008238,112.7921458,-7.2888614,
6402008239,112.7921613,-7.2884425,
6402008242,112.7921904,-7.2883963,
6402008243,112.7932258,-7.2876068,
6402008247,112.7970532,-7.2840324,
6402008248,112.79797,-7.2840847,
6402008249,112.7978352,-7.2831572,
6402008250,112.7976731,-7.2819075,
6402008259,112.797986,-7.2788441,
6402008260,112.797961,-7.2789053,
6402008261,112.79787,-7.278909,
6402008280,112.7955433,-7.2781552,
6402008281,112.7951221,-7.2781432,
6402008282,112.7945669,-7.2788469,
6402008289,112.7965738,-7.2782042,
6402008291,112.7961065,-7.2786181,
6402008293,112.7947897,-7.2797834,
6402008296,112.7963821,-7.2779875,
6402008297,112.7964248,-7.2776133,
6402008298,112.7963455,-7.2775335,
6402008299,112.7962983,-7.2780933,
6402008303,112.7955349,-7.2785941,
6402008304,112.7960488,-7.2774015,
6402008305,112.7960522,-7.2772705,
6402008306,112.7962426,-7.277405,
6402008312,112.794721,-7.277461,
6402008313,112.7944449,-7.2756967,
6402008317,112.7920736,-7.2770901,
6402008320,112.7909673,-7.2773738,
6402008321,112.7908694,-7.2781119,
6402008325,112.7914716,-7.2787445,
6402008326,112.7913536,-7.2785759,
6402008327,112.7912373,-7.2784409,
6402008328,112.7911136,-7.2783473,
6402008329,112.7907984,-7.2781685,
6402008330,112.7902447,-7.2781967,
6402008332,112.7909895,-7.2766107,
6402008333,112.7908574,-7.2765109,
6402008334,112.790619,-7.2763426,
4682753322,112.793768,-7.2903729,
3123414322,112.7981187,-7.2924194,
